IDENT_MEN;pond_menC;JNBVEH;JNBVHS;JNBVPHS;JNBCCHS;JNBVULHS;JNBMOTO;JNBCYCLO;JNBAUTVEH;JNBVELOAD;JNBVELOENF;JUTILMOTO;JUTILCYCLO;JUTILAUTVEH;JUTILVELOAD;JUTILVELOENF;JVOLVELO;JPLUSVELO;JNBKVM;JUTIL2RM;BLOGDIST
1100001744000;3584.8576973;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001745000;1283.9250206;2;2;;;;0;0;0;2;1;;;;2;0;1;2;2;0;1
1100001754000;3806.2423671;1;2;;;;0;0;0;2;0;;;;2;;2;;1;0;1
1100001755000;1345.7765972;2;2;;;;0;0;0;0;1;;;;;1;2;;2;0;2
1100001757000;2700.5843162;0;;;;;0;0;0;0;1;;;;;1;2;;0;0;2
1100001758000;1760.8679309;2;2;;;;0;0;0;0;3;;;;;3;2;;2;0;2
1100001765000;1896.3577571;3;2;;;;0;0;0;3;1;;;;0;0;2;;3;0;1
1100001768000;2404.0092358;2;2;;;;0;0;0;0;2;;;;;2;2;;2;0;1
1100001823000;1438.3085491;0;;;;;0;0;0;0;0;;;;;;2;;0;0;3
1100001825000;1500.7616741;1;2;;;;0;0;0;3;0;;;;2;;2;;1;0;1
1100001827000;2497.6321184;0;;;;;0;0;0;2;0;;;;0;;2;;0;0;1
1100001837000;3729.3822786;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001838000;1517.9124305;0;;;;;0;0;0;1;0;;;;1;;1;2;0;0;1
1100001845000;2459.5498748;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001847000;4583.7286013;0;;;;;0;0;0;2;0;;;;2;;2;;0;0;1
1100001854000;2300.0081381;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;2
1100001855000;593.00453959;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001857000;2369.0131947;1;2;;;;0;0;0;2;2;;;;2;2;2;;1;0;1
1100001858000;2123.6632521;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001863000;4778.4512458;0;;;;;0;0;0;1;0;;;;1;;2;;0;0;1
1100001864000;3357.0611746;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001865000;1591.0348681;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001867000;3494.6233629;0;;;;;0;0;0;1;0;;;;1;;2;;0;0;1
1100001868000;2040.1117097;0;;;;;0;0;0;0;4;;;;;1;2;;0;0;1
1100001914000;3417.8221255;1;2;;;;0;0;0;0;1;;;;;1;2;;1;0;1
1100001915000;1683.7215106;2;2;;;;0;0;0;5;0;;;;1;;2;;2;0;1
1100001918000;1471.9461521;0;;;;;0;0;0;1;0;;;;0;;2;;0;0;1
1100001924000;3520.3798419;1;2;;;;1;0;0;1;2;1;;;1;2;2;;1;1;2
1100001925000;1502.7795052;1;2;;;;0;0;0;2;0;;;;2;;2;;1;0;1
1100001933000;2927.9980459;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
