ident_ind;ident_men;ident_log;NOI;SEXE;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;tr_age
110000064500009;1100000645000;110000064500;09;2;02;02;10;10;50;50;50;10;00;10;Moins de 18 ans
110000064500010;1100000645000;110000064500;10;1;02;02;10;10;50;50;50;10;10;00;Moins de 18 ans
110000064600001;1100000646000;110000064600;01;1;00;01;03;03;;;;;;;De 35 à 49 ans
110000064600002;1100000646000;110000064600;02;2;01;00;03;03;;;;;;;De 35 à 49 ans
110000064600003;1100000646000;110000064600;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000064600004;1100000646000;110000064600;04;2;02;02;10;00;;;;;;;Moins de 18 ans
110000064700001;1100000647000;110000064700;01;1;00;;;;;;;;;;De 18 à 25 ans
110000065400001;1100000654000;110000065400;01;2;00;01;;;;;;;;;De 65 à 74 ans
110000065400002;1100000654000;110000065400;02;1;01;00;;;;;;;;;75 ans et plus
110000065500001;1100000655000;110000065500;01;2;00;01;32;32;03;;;;;;De 35 à 49 ans
110000065500002;1100000655000;110000065500;02;1;01;00;03;03;03;;;;;;De 35 à 49 ans
110000065500003;1100000655000;110000065500;03;2;31;02;00;10;10;;;;;;Moins de 18 ans
110000065500004;1100000655000;110000065500;04;2;31;02;10;00;10;;;;;;Moins de 18 ans
110000065500005;1100000655000;110000065500;05;2;02;02;10;10;00;;;;;;Moins de 18 ans
110000065800001;1100000658000;110000065800;01;1;00;;;;;;;;;;75 ans et plus
110000066300001;1100000663000;110000066300;01;2;00;;;;;;;;;;De 65 à 74 ans
110000066700001;1100000667000;110000066700;01;2;00;;;;;;;;;;De 65 à 74 ans
110000066800001;1100000668000;110000066800;01;1;00;01;;;;;;;;;De 65 à 74 ans
110000066800002;1100000668000;110000066800;02;1;01;00;;;;;;;;;De 65 à 74 ans
110000071400001;1100000714000;110000071400;01;1;00;01;;;;;;;;;De 50 à 64 ans
110000071400002;1100000714000;110000071400;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000072400001;1100000724000;110000072400;01;1;00;01;;;;;;;;;De 50 à 64 ans
110000072400002;1100000724000;110000072400;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000072800001;1100000728000;110000072800;01;1;00;01;;;;;;;;;75 ans et plus
110000072800002;1100000728000;110000072800;02;2;01;00;;;;;;;;;De 65 à 74 ans
110000073400001;1100000734000;110000073400;01;1;00;03;03;;;;;;;;De 35 à 49 ans
110000073400002;1100000734000;110000073400;02;1;02;00;10;;;;;;;;Moins de 18 ans
110000073400003;1100000734000;110000073400;03;2;02;10;00;;;;;;;;Moins de 18 ans
110000073800001;1100000738000;110000073800;01;1;00;01;03;03;03;03;03;;;;De 35 à 49 ans
110000073800002;1100000738000;110000073800;02;2;01;00;03;03;03;03;03;;;;De 35 à 49 ans
110000073800003;1100000738000;110000073800;03;2;02;02;00;10;10;10;10;;;;De 18 à 25 ans
110000073800004;1100000738000;110000073800;04;1;02;02;10;00;10;10;10;;;;Moins de 18 ans
110000073800005;1100000738000;110000073800;05;1;02;02;10;10;00;10;10;;;;Moins de 18 ans
110000073800006;1100000738000;110000073800;06;1;02;02;10;10;10;00;10;;;;Moins de 18 ans
110000073800007;1100000738000;110000073800;07;1;02;02;10;10;10;10;00;;;;Moins de 18 ans
110000074600001;1100000746000;110000074600;01;1;00;;;;;;;;;;De 50 à 64 ans
110000074700001;1100000747000;110000074700;01;1;00;01;03;;;;;;;;De 65 à 74 ans
110000074700002;1100000747000;110000074700;02;2;01;00;03;;;;;;;;75 ans et plus
110000074700003;1100000747000;110000074700;03;1;02;02;00;;;;;;;;De 25 à 34 ans
110000075300001;1100000753000;110000075300;01;1;00;;;;;;;;;;De 18 à 25 ans
110000075400001;1100000754000;110000075400;01;2;00;;;;;;;;;;De 50 à 64 ans
110000075500001;1100000755000;110000075500;01;2;00;01;;;;;;;;;De 50 à 64 ans
110000075500002;1100000755000;110000075500;02;1;01;00;;;;;;;;;De 50 à 64 ans
110000076500001;1100000765000;110000076500;01;2;00;01;03;03;03;03;;;;;De 35 à 49 ans
110000076500002;1100000765000;110000076500;02;1;01;00;03;03;03;03;;;;;De 50 à 64 ans
110000076500003;1100000765000;110000076500;03;1;02;02;00;10;10;10;;;;;De 18 à 25 ans
110000076500004;1100000765000;110000076500;04;2;02;02;10;00;10;10;;;;;Moins de 18 ans
110000076500005;1100000765000;110000076500;05;1;02;02;10;10;00;10;;;;;Moins de 18 ans
110000076500006;1100000765000;110000076500;06;2;02;02;10;10;10;00;;;;;Moins de 18 ans
110000081500001;1100000815000;110000081500;01;1;00;01;03;;;;;;;;De 65 à 74 ans
110000081500002;1100000815000;110000081500;02;2;01;00;03;;;;;;;;De 50 à 64 ans
110000081500003;1100000815000;110000081500;03;2;02;02;00;;;;;;;;De 25 à 34 ans
110000082300001;1100000823000;110000082300;01;1;00;;;;;;;;;;De 50 à 64 ans
110000082400001;1100000824000;110000082400;01;1;00;;;;;;;;;;De 65 à 74 ans
110000083300001;1100000833000;110000083300;01;2;00;01;03;;;;;;;;De 50 à 64 ans
110000083300002;1100000833000;110000083300;02;1;01;00;03;;;;;;;;De 50 à 64 ans
110000083300003;1100000833000;110000083300;03;1;02;02;00;;;;;;;;De 18 à 25 ans
110000083500001;1100000835000;110000083500;01;1;00;01;03;03;;;;;;;De 35 à 49 ans
110000083500002;1100000835000;110000083500;02;2;01;00;03;03;;;;;;;De 35 à 49 ans
110000083500003;1100000835000;110000083500;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000083500004;1100000835000;110000083500;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000084800001;1100000848000;110000084800;01;1;00;01;40;;;;;;;;De 65 à 74 ans
110000084800002;1100000848000;110000084800;02;2;01;00;50;;;;;;;;De 65 à 74 ans
110000084800003;1100000848000;110000084800;03;1;40;50;00;;;;;;;;De 50 à 64 ans
110000085300001;1100000853000;110000085300;01;2;00;03;03;03;03;;;;;;De 25 à 34 ans
110000085300002;1100000853000;110000085300;02;1;02;00;10;10;10;;;;;;Moins de 18 ans
110000085300003;1100000853000;110000085300;03;1;02;10;00;10;10;;;;;;Moins de 18 ans
110000085300004;1100000853000;110000085300;04;1;02;10;10;00;10;;;;;;Moins de 18 ans
110000085300005;1100000853000;110000085300;05;1;02;10;10;10;00;;;;;;Moins de 18 ans
110000085400001;1100000854000;110000085400;01;1;00;01;;;;;;;;;75 ans et plus
110000085400002;1100000854000;110000085400;02;2;01;00;;;;;;;;;75 ans et plus
110000085500001;1100000855000;110000085500;01;1;00;01;03;03;;;;;;;De 35 à 49 ans
110000085500002;1100000855000;110000085500;02;2;01;00;03;03;;;;;;;De 35 à 49 ans
110000085500003;1100000855000;110000085500;03;2;02;02;00;10;;;;;;;Moins de 18 ans
110000085500004;1100000855000;110000085500;04;2;02;02;10;00;;;;;;;Moins de 18 ans
110000086400001;1100000864000;110000086400;01;2;00;;;;;;;;;;75 ans et plus
110000086500001;1100000865000;110000086500;01;2;00;01;03;03;;;;;;;De 50 à 64 ans
110000086500002;1100000865000;110000086500;02;1;01;00;03;03;;;;;;;De 50 à 64 ans
110000086500003;1100000865000;110000086500;03;2;02;02;00;10;;;;;;;De 25 à 34 ans
110000086500004;1100000865000;110000086500;04;1;02;02;10;00;;;;;;;De 18 à 25 ans
