IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_velo;KVELOCAT;KVELOLDD;KVELOBTP;KVELOFREQ;KVELOQUI;KVELOUTIL_FLAG;KVELOUTIL_A;KVELOUTIL_B;KVELOUTIL_C;KVELOUTIL_D;KVPARKVELO;KVKM1SEM
110000332500021;1100003325000;21;1403.498131;1;2;2;6;1;1;0;1;0;0;1;
110000335700021;1100003357000;21;3864.5146846;4;2;2;6;1;1;0;1;0;0;3;
110000335700022;1100003357000;22;3864.5146846;3;2;2;2;3;1;0;0;1;0;3;30
110000342400021;1100003424000;21;2414.5079471;4;2;1;5;2;1;0;1;0;0;4;
110000343800021;1100003438000;21;2498.920169;2;2;2;2;1;1;0;1;0;0;3;100
110000346500021;1100003465000;21;1789.1333339;1;2;2;6;1;1;0;1;0;0;1;
110000352800021;1100003528000;21;1476.499112;3;2;2;4;1;1;0;1;0;1;5;10
110000355700021;1100003557000;21;2246.8697669;4;2;2;6;1;1;0;1;0;0;5;
110000356500021;1100003565000;21;2069.3996798;1;2;2;6;1;1;1;0;0;0;1;
110000361400021;1100003614000;21;2550.6302287;1;2;2;6;1;1;0;1;0;0;5;
110000361400022;1100003614000;22;2550.6302287;1;2;2;5;4;1;1;0;0;0;5;
110000361800021;1100003618000;21;2186.4037424;4;2;2;5;2;1;0;0;1;0;5;
110000362700021;1100003627000;21;3055.7900488;5;2;2;3;1;1;0;1;0;0;5;15
110000363500021;1100003635000;21;1194.5417116;4;2;2;6;1;1;0;1;0;0;3;
110000366300021;1100003663000;21;4327.6065076;4;2;2;3;1;1;1;1;0;0;4;0
110000371400021;1100003714000;21;3049.9277286;2;2;2;5;1;1;0;1;0;0;5;
110000373300021;1100003733000;21;2804.9325453;4;2;2;3;1;1;0;1;0;1;3;0
110000374400022;1100003744000;22;3786.8299774;1;2;2;5;2;1;0;1;0;0;5;
110000374400021;1100003744000;21;3786.8299774;1;2;2;2;1;1;0;1;0;1;5;0
110000381300021;1100003813000;21;3601.753868;1;2;2;1;1;1;0;0;1;0;5;20
110000383500021;1100003835000;21;2037.5017706;1;2;2;6;1;1;1;0;0;0;4;
110000391500021;1100003915000;21;2717.7116963;2;2;2;1;1;1;0;0;1;0;2;30
110000393500022;1100003935000;22;1893.3629968;4;2;2;6;2;1;0;1;0;0;3;
110000393500021;1100003935000;21;1893.3629968;2;2;2;3;1;1;0;1;1;0;3;20
110000394400021;1100003944000;21;2784.2531737;1;2;2;3;1;1;0;1;0;0;7;40
110000394500021;1100003945000;21;1356.9267463;2;2;2;4;2;1;0;1;0;0;4;0
110000394500022;1100003945000;22;1356.9267463;4;2;2;4;1;1;0;1;0;0;5;0
110000394500023;1100003945000;23;1356.9267463;1;2;2;4;21;1;0;1;0;0;4;0
