IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;KVROUL;cylindree_fin;energie_fin;energie_agrege;hybride;energie_statinfo;energie_CritAir;critair;puis_fisc_fin;ANNEE_1mec;age;ANNEE_acq;dur_acq;KVAQUIV;KVAQUINO01;KVAQUINO02;KVAQUINO03;KVAQUINO04;KVAQUINO05;KVAQUINO06;KVAQUINO07;KVAQUINO08;KVAQUINO09;KVAQUINO10;KVAQUINO11;KVAQUINO12;KVAQUINO13;KVAQUINO14;KVAQUINO15;KVAQUINO16;KVAQUINO17;KVAQUINO18;KVAQUINO19;KVAQUINO20;KVAQUINO21;KVQUICONV01;KVQUICONV02;KVQUICONV03;KVQUICONV04;KVQUICONV05;KVQUICONV06;KVQUICONV07;KVQUICONV08;KVQUICONV09;KVQUICONV10;KVQUICONV11;KVQUICONV12;KVQUICONV13;KVQUICONV14;KVQUICONV15;KVQUICONV16;KVQUICONV17;KVQUICONV18;KVQUICONV19;KVQUICONV20;KVQUICONV21;KVQUI9COV;KVQUICONPV;KVKMV;indic_km_corr;KVKMVT;KVKM1ANV;indic_km_annu_corr;KVKM1ANVT;KVCONS;KVGAREJOUR;KVGARENUIT;KVGARELEC_FLAG;KVGARELEC_A;KVGARELEC_B
110000036400001;1100000364000;01;1940.6758028;1;1;ES;1;;2;4;3;4;1997;261;1997;261;1;1;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;3;21;43220.172414;INTERPO;2;1085.2380882;INTERPO;1;5;1;1;1;1;0
110000036500002;1100000365000;02;2021.0565974;1;999;ES;1;;2;4;1;7;2019;1;2019;1;1;1;2;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;1000;ENQUETE;1;1000;ENQUETE;1;8.5;1;1;1;1;0
110000036500001;1100000365000;01;2021.0565974;1;1.2;ES;1;;2;4;1;6;2018;12;2018;12;1;1;2;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;3;2;11575.302535;ESTIMAT;1;10983.4763;ESTIMAT;4;8;1;1;1;1;0
110000041300002;1100000413000;02;2468.9993288;1;1.5;GO;2;;4;2;3;6;2006;147;2010;98;1;2;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;2;245049.06564;INTERPO;7;4603.429018;INTERPO;2;6;2;2;1;0;0
110000041300001;1100000413000;01;2468.9993288;1;2.2;GO;2;;4;2;4;8;2003;177;2004;168;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;3;1;209501.16896;INTERPO;7;8211.9986264;INTERPO;3;7;1;1;1;0;0
110000042400001;1100000424000;01;1927.0461462;1;1.2;ES;1;;2;4;2;4;2006;139;2008;120;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;98456.748271;INTERPO;4;4699.5232154;INTERPO;2;7;1;1;1;0;0
110000042500001;1100000425000;01;1620.7270647;1;1.5;GO;2;;4;2;3;4;2007;136;2004;168;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;3;2;127385.5;INTERPO;5;6439.6428571;INTERPO;2;5.2;2;2;1;0;0
110000042500002;1100000425000;02;1620.7270647;1;2;GO;2;;4;2;3;8;2010;98;2012;68;1;1;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;3;1;153791.38636;INTERPO;6;8236.3825533;INTERPO;3;7.3;1;1;1;1;0
110000042600002;1100000426000;02;4655.8267848;1;1.6;ES;1;;2;4;3;7;2000;213;2003;175;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;209327.04665;ESTIMAT;7;8504.4492407;ESTIMAT;3;8.5;4;2;1;1;0
110000042600001;1100000426000;01;4655.8267848;1;1.4;GO;2;;4;2;3;4;2008;119;2017;7;4;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;4;2;160545.28871;ESTIMAT;6;19920.148123;ESTIMAT;5;5.5;4;2;1;1;0
110000043500002;1100000435000;02;1720.2676441;1;999;;2;;;;;99;.;;2018;0;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;57461;ENQUETE;3;30000;ENQUETE;6;4.5;2;2;1;1;0
110000043500001;1100000435000;01;1720.2676441;1;1.6;GO;2;;4;2;3;6;2008;119;2016;24;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;3;1;179321.8249;INTERPO;6;12715.84651;INTERPO;4;4.5;2;2;1;1;0
110000045400001;1100000454000;01;2647.5045992;1;1.5;GO;2;;4;2;2;5;2014;54;2015;37;1;2;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;3;1;45834.274862;INTERPO;2;9690.8551182;INTERPO;3;9999;2;2;1;0;0
110000046500001;1100000465000;01;2200.2499188;1;1.1;ES;1;;2;4;2;5;2006;150;2007;137;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;115964.63405;INTERPO;5;5887.9107109;INTERPO;2;6;1;1;1;1;0
110000046500002;1100000465000;02;2200.2499188;1;1.2;ES;1;;2;4;1;7;2016;30;2017;26;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;37528.427419;INTERPO;2;11024.623154;INTERPO;4;6;1;1;1;1;0
